s_station_id,s_station_name,s_station_city_id
0,一步滩,0
1,一间堡,1
2,一面坡,2
3,一面山,3
4,七台河,4
5,七甸,5
6,七苏木,6
7,七营,7
8,七龙星,8
9,万乐,9
10,万发屯,10
11,万宁,11
12,万州,12
13,万年,13
14,万庄,14
15,万源,15
16,三义井,16
17,三井子,17
18,三亚,18
19,三元坝,19
20,三关口,20
21,三十家,21
22,三十里堡,22
23,三原,23
24,三合庄,24
25,三堂集,25
26,三家子,26
27,三家寨,27
28,三家店,28
29,三把火,29
30,三明北,30
31,三水,31
32,三水北,31
33,三水南,31
34,三汇镇,34
35,三江,35
36,三江南,36
37,三江县,37
38,三江口,38
39,三河县,39
40,三源浦,40
41,三穗,41
42,三花石,42
43,三营,43
44,三道湖,44
45,三道营,45
46,三都县,46
47,三门县,47
48,三门峡,48
49,三门峡西,48
50,三间房,50
51,三阳川,51
52,上万,52
53,上园,53
54,上店,54
55,上普雄,55
56,上板城,56
57,上板城南,56
58,上海,58
59,上海南,58
60,上海虹桥,58
61,上海西,58
62,上腰墩,62
63,上虞,63
64,上虞北,63
65,上西铺,65
66,上谷,66
67,上饶,67
68,上高镇,68
69,下台子,69
70,下坑子,70
71,下城子,71
72,下普雄,72
73,下板城,73
74,下社,74
75,下花园,75
76,下马塘,76
77,东丰,77
78,东乡,78
79,东二道河,79
80,东京城,80
81,东元庆,81
82,东光,82
83,东兴,83
84,东升,84
85,东南营子,85
86,东台,86
87,东坡,87
88,东大坝,88
89,东安东,89
90,东富,90
91,东庄,91
92,东戴河,92
93,东方,93
94,东方红,94
95,东明县,95
96,东明村,96
97,东来,97
98,东沟门,98
99,东津,99
100,东海,100
101,东海县,101
102,东淤地,102
103,东港北,103
104,东湾,104
105,东田良,105
106,东胜西,106
107,东至,107
108,东莞,108
109,东莞东,108
110,东营南,110
111,东营子,111
112,东辛庄,112
113,东边井,113
114,东通化,114
115,东镇,115
116,两家,116
117,两当,117
118,中兴,118
119,中卫,119
120,中台子,120
121,中和,121
122,中嘴,122
123,中宁,123
124,中宁东,123
125,中宁南,123
126,中寨,126
127,中山,127
128,中山北,127
129,中川机场,129
130,丰乐镇,130
131,丰城,131
132,丰城南,131
133,丰广,133
134,丰水村,134
135,丰都,135
136,丰镇,136
137,丰顺,137
138,串子沟,138
139,临城,139
140,临江场,140
141,临江溪,141
142,临汾,142
143,临汾西,142
144,临沂,144
145,临沂北,144
146,临河,146
147,临泽,147
148,临泽南,147
149,临海,149
150,临清,150
151,临湘,151
152,临西,152
153,临颍,153
154,临高南,154
155,丹东,155
